Glottocode_for_mapping,Lat,Long,Language,Family
abip1241,-29,-61,Abipon,Guaicuruan
nata1252,33.4593,51.9538,Abyanei,Indo-European
acol1236,3.57738,32.5147,Acoli,Nilotic
akan1250,6.34756,-1.33254,Akan,Atlantic-Congo
mosi1247,-5.43471,37.1869,Akie,Nilotic
urip1239,-16.00951,167.34643,Atchin,Austronesian
bakw1243,5.23123,-6.51077,Bakwé,Kru
east2304,28,62,Balochi,Indo-European
bamb1269,12.9,-7.65,Bambara,Mande
bari1284,4.19522,31.0723,Bari,Nilotic
basq1248,43.2787,-1.31622,Basque,Basque
nucl1418,7.27501,-11.543,Bassa,Kru
beja1238,17.2436,36.6666,Beja,Afro-Asiatic
bete1262,6.62037,9.20189,Bété,Atlantic-Congo
bulg1262,43.3646,25.047,Bulgarian,Indo-European
buli1255,1.0008,128.443,Buli,Austronesian
mong1330,48.7686,109.005,Buriat,Mongolic
cant1236,23.0118,113.2021,Cantonese,Sino-Tibetan
cash1251,-8.70232,-75.4206,Cashibo-Cacataibo,Panoan
kodi1246,5.49671,-6.31915,Cedepo,Kru
chep1245,27.7206,84.9017,Chepang,Sino-Tibetan
cher1273,35.4664,-83.163,Cherokee,Iroquian
coca1259,-4.5,-74,Cocama-Cocamilla,Tupi-Guarani
dani1285,54.8655,9.36284,Danish,Indo-European
dewo1238,6.56113,-10.9076,Dewoin,Kru
yoco1235,5.40126,-5.12242,Dida,Kru
dual1243,4.10208,9.61877,Duala,Atlantic-Congo
midd1344,34.27,108.9,Early Modern Chinese,Sino-Tibetan
cald1236,-0.36205,-78.2587,Ecuadorian Quichua,Quechuan
efik1245,4.89379,8.38121,Efik,Atlantic-Congo
stan1293,53,-1,English,Indo-European
esee1248,-11.7268,-67.515,Ese Ejja,Takanan
even1260,70.6687,130.914,Even,Tungusic
stan1290,48,2,French,Indo-European
gand1255,0.66884,32.15153,Ganda,Atlantic-Congo
gbar1246,8.46411,7.10757,Gbari,Atlantic-Congo
stan1295,48.649,12.4676,German,Indo-European
godi1239,5.3944,-5.82696,Godié,Kru
hait1244,18.795135,-72.136115,Haitian,Indo-European
hind1269,25,77,Hindi,Indo-European
hung1274,46.9068585714,19.6555271429,Hungarian,Uralic
hupd1244,0.58622,-69.8359,Hup,Nadahup
nucl1417,4.62705,7.23441,Igbo,Atlantic-Congo
west2618,64.3486,-96.148,Inuktitut,Eskimo-Aleut
iraq1241,-4.19948,35.2939,Iraqw,Afro-Asiatic
jude1257,31.45071,43.57147,Judeo-Persian,Indo-European
kett1243,63.7551,87.5466,Ket,Yeniseian
kips1239,-0.35774,35.258532,Kipsigis,Nilotic
klao1243,5.05,-8.85,Klao,Kru
kono1267,7.85002,-8.25793,Kono,Mande
kore1280,37.5,128,Korean,Koreanic
koyo1242,-0.69688,15.7508,Koyo,Atlantic-Congo
west2488,6.14415,-8.40954,Krahn,Kru
krio1253,10.8811,-14.3204,Krio,Indo-European
kron1241,10.514,30.003,Krongo,Kadugli-Krongo
kryt1240,41.1811,48.1846,Kryz,Nakh-Daghestanian
kuli1254,-4.58411,123.045,Kulisusu,Timor-Alor-Pantar
lahu1253,21.2701,100.214,Lahu,Sino-Tibetan
lako1247,46.3699,-103.95,Lakota,Siouan
lati1261,41.9026,12.4502,Latin,Indo-European
liku1242,-1.27931,16.4702,Likuba,Atlantic-Congo
ling1263,-4.409174,15.28532,Lingala,Atlantic-Congo
luba1249,-5.72717,22.4422,Luba-Lulua,Atlantic-Congo
maaa1253,11.5205,107.339,Maa,Austroasiatic
mama1278,-12.986439,-60.101072,Mamaindé,Nambiquaran
mand1415,40.0209,116.228,Mandarin Chinese,Sino-Tibetan
mand1436,12.8165233333,-15.6539466667,Mandinka,Mande
mann1248,7.04616,-8.86405,Mann,Mande
marg1265,10.93854,13.0521,Marghi,Afro-Asiatic
maun1240,-11.66,133.376,Mawng,Iwaidjan Proper
yuet1238,24.3522958,115.8903375,Meixian Hakka,Sino-Tibetan
mode1248,38.36,23.13,Modern Greek,Indo-European
mort1237,5.50735,153.710778,Mortlockese,Austronesian
mwer1247,-11.3304,34.8959,Mwera,Atlantic-Congo
myen1241,-1.48741,9.50247,Myene,Atlantic-Congo
nege1244,18.3416,-64.8922,Negerhollands,Indo-European
neyo1238,4.95048,-6.08043,Neyo,Kru
ngab1239,8.8251,-82.3911,Ngäbere,Chibchan
sout2826,4.47607,-7.56872,Nyabo,Kru
oldc1244,36.12,114.32,Old Chinese,Sino-Tibetan
otuh1238,4.16379,32.6641,Otuho,Nilotic
ruch1235,21.6176,98.0915,Palaung,Austrasiatic
oldp1254,32,54,Persian,Indo-European
port1283,39.91,-8.1,Portuguese,Indo-European
roma1327,46.3913,24.2256,Romanian,Indo-European
russ1263,59,50,Russian,Indo-European
rutu1240,41.6187,47.3244,Rutul,Nakh-Daghestanian
sese1246,-4.62314,55.4503,Seselwa Creole French,Indo-European
sint1235,48.7,9.4,Sinto Romani,Indo-European
nort2942,63.2671,-123.641,Slavey,Athabaskan-Eyak-Tlingit
sogd1245,39.7,66.983,Sogdian,Indo-European
birw1238,-22.17,28.33,Sotho,Atlantic-Congo
stan1288,40.4414,-1.11788,Spanish,Indo-European
swah1253,-8.25605,37.624,Swahili,Atlantic-Congo
swed1254,59.800634,17.389526,Swedish,Indo-European
tami1289,10.520219,78.825989,Tamil,Dravidian
temm1241,8.967,1.136,Tem,Atlantic-Congo
tepo1239,5.16267,-7.66346,Tepo Krumen,Kru
teso1249,1.18321,33.9394,Teso,Nilotic
tigr1270,17.3494,38.2233,Tigre,Afro-Asiatic
timn1235,8.90294,-12.3331,Timne,Atlantic-Congo
tojo1241,16.2572,-91.7825,Tojolabal,Mayan
tokp1240,-9.41971,147.303,Tok Pisin,Indo-European
tswa1253,-24.368,24.7587,Tswana,Atlantic-Congo
tuca1252,0.579755,-69.5763,Tucano,Tucanoan
tzot1259,16.6362,-92.7388,Tzotzil,Mayan
udii1243,40.9,47.7236,Udi,Nakh-Daghestanian
lako1244,5.86012,-5.40633,Vata,Kru
wapa1235,7.97862,9.83299,Wapan,Atlantic-Congo
west2368,37.83,62.17,Western Balochi,Indo-European
wint1259,39.7176,-122.445,Wintu,Wintuan
yaga1260,-6.32432,145.388,Yagaria,Nuclear Trans New Guinea
yess1239,-4.15721,142.574,Yessan-Mayo,Sepik
yuca1254,18.7757,-88.9567,Yucatec Maya,Mayan
zulu1248,-28.9,30.2,Zulu,Atlantic-Congo
